מזהה,שם המוצר,תיאור,מחיר,מחיר מקורי,קטגוריה,קישור לתמונה,קישור לסרטון,גיל,גודל,מה בקופסה,מומלץ בדף הבית,מבצע,אחוז הנחה,תגיות,במלאי,מתאים לבית ספר,מומלץ ליריד,כמות מינימום לקבוצה,כמות מקסימום לקבוצה,רמת קושי,זמן הכנה,דירוג,מספר ביקורות,כמות במלאי
kit-011,String Art — לב,יצירת לב מחוטים על לוח עץ — תוצאה מרהיבה לקישוט החדר.,99,,ערכות אומנות בחוטים,https://images.unsplash.com/photo-1456513080510-7bf3a84b82f8?w=600&h=600&fit=crop,,גילאי 8+,25×25 ס״מ,לוח עץ | מסמרים | חוט אדום | תבנית | מדריך,כן,לא,,art | gift,כן,כן,כן,1,30,בינוני,60–90 דקות,4.8,40,
kit-012,String Art — כוכב,כוכב מחוטים זהובים — עיצוב אלגנטי שמתאים לכל גיל.,99,,ערכות אומנות בחוטים,https://images.unsplash.com/photo-1513364778564-2073ec304d05?w=600&h=600&fit=crop,,גילאי 8+,25×25 ס״מ,לוח עץ | מסמרים | חוט זהב | תבנית | מדריך,לא,לא,,art | gift,כן,כן,לא,1,30,בינוני,60–90 דקות,4.5,28,
kit-013,String Art — עץ,עץ החיים מחוטים ירוקים — סמל לצמיחה ויצירתיות.,109,,ערכות אומנות בחוטים,https://images.unsplash.com/photo-1541961017774-22349e4a1262?w=600&h=600&fit=crop,,גילאי 9+,30×30 ס״מ,לוח עץ | מסמרים | חוטים צבעוניים | תבנית | מדריך,כן,לא,,art | nature,כן,כן,כן,1,25,מתקדם,90 דקות,4.8,47,3
kit-014,String Art — חבילת 3,3 ערכות String Art במחיר מיוחד — מושלם ליריד או מתנה.,249,297,ערכות אומנות בחוטים,https://images.unsplash.com/photo-1513364778564-2073ec304d05?w=600&h=600&fit=crop,,גילאי 8+,3 ערכות,לב | כוכב | עץ | 3 מדריכים,לא,כן,16,bundle | gift,כן,כן,כן,1,40,בינוני,3×60 דקות,4.5,50,
kit-015,חבילת משפחה — 2 ערכות בנייה,קנו 2 ערכות בנייה וקבלו 15% הנחה — חוויה משפחתית מושלמת.,254,278,מבצעים,https://images.unsplash.com/photo-1587654780291-39c9404d746b?w=600&h=600&fit=crop,,גילאי 6+,2 ערכות,מגדל עץ | מכונית עץ | 2 מדריכים,כן,כן,15,bundle | family,כן,כן,כן,1,50,קל,2 שעות,4.8,54,
kit-016,חבילת יריד — 10 ערכות,חבילה מיוחדת לוועדי הורים — 10 ערכות במחיר מוזל ליריד בית הספר.,1190,1490,מבצעים,https://images.unsplash.com/photo-1513694203232-719a280e022f?w=600&h=600&fit=crop,,גילאי 6+,10 ערכות מעורבות,10 ערכות לבחירה | מדריכים | אריזה ליריד,כן,כן,20,bundle | school | fair,כן,כן,כן,10,100,קל,לפי ערכה,4.8,58,2
kit-017,חבילת כיתה — 25 ערכות,הזמנה כמותית לכיתה שלמה — הנחה משמעותית + אריזה מסודרת.,2790,3475,מבצעים,https://images.unsplash.com/photo-1503454537195-1dcabb73ffb9?w=600&h=600&fit=crop,,גילאי 5+,25 ערכות,25 ערכות לבחירה | מדריכים | חשבונית מס,לא,כן,20,bundle | school | class,כן,כן,כן,25,100,קל,לפי ערכה,4.5,61,
kit-018,חבילת קיץ + בנייה,שילוב ערכת קיץ וערכת בנייה — 15% הנחה על החבילה.,229,268,מבצעים,https://images.unsplash.com/photo-1522202176988-66273c2fd55f?w=600&h=600&fit=crop,,גילאי 6+,2 ערכות,פרפרי קיץ | בית ציפור | 2 מדריכים,לא,כן,15,bundle | summer,כן,כן,כן,1,40,בינוני,2–3 שעות,4.5,25,
kit-019,ערכת חנוכיה מעץ,בנו וקשטו חנוכיה מעץ — יצירה חגיגית לחנוכה שמתאימה למשפחה ולכיתה.,89,,ערכות חגי ישראל,https://images.unsplash.com/photo-1482514194978-3ed8cc9d7e80?w=600&h=600&fit=crop,,גילאי 5+,חנוכיה אחת,חלקי עץ מוכנים | צבעים | מברשות | מדריך בעברית,כן,לא,,holiday | hanukkah,כן,כן,כן,1,35,קל,45–60 דקות,4.8,22,
kit-020,ערכת מסיכה לפורים,יצירת מסיכות צבעוניות לפורים — פעילות מהנה לגנים ולבתי ספר.,49,,ערכות חגי ישראל,https://images.unsplash.com/photo-1513364778564-2073ec304d05?w=600&h=600&fit=crop,,גילאי 4+,2 מסיכות,תבניות מסיכה | נוצות וקישוטים | דבק | מדריך,לא,לא,,holiday | purim,כן,כן,כן,1,40,קל,30–45 דקות,4.6,18,
